Sample.id,Species,Season,Preference,C.P.perc,GAE.mg.ml,TAE.mg.ml,S.S.mg.ml,St.mg.ml,TNC.mg.ml
BWIL.7.29.D,Sani,summer,preferred,25.644,0.040028,0,0.1530852,0.0747468,0.227832
BWIL.8.2.D,Sani,summer,preferred,28.3135,0.037031,0,0.1841524,0.10459,0.2887424
WASH.7.28.C,Fram,summer,neutral,22.244,0.026175,0,0.1102482,0.1973837,0.3076319
WASH.7.28.D,Fram,summer,neutral,23.376,0.0352875,0,0.1404951,0.078868,0.2193631
WASH.7.29.C,Fram,summer,neutral,21.61,0.053175,0,0.1810632,0.061201,0.2422642
WASH.7.29.D,Fram,summer,neutral,24.92,0.0423375,0,0.1224683,0.1571247,0.279593
WASH.7.31.D,Fram,summer,neutral,22.8315,0.021533,0,0.126612,0.1126741,0.2392861
WASH.8.1.D,Fram,summer,neutral,23.903,0.0393375,0,0.174631,0.1003933,0.2750243
WASH.8.3.D,Fram,summer,neutral,24.528,0.0297,0,0.1116084,0.08068,0.1922884
smap1.14,Acsa,winter,neutral,12.541,0.062588,0,0.0535732,0.0840728,0.137646
smap1.16,Acsa,winter,neutral,17.047,0.045524,0,0.1107016,0.0649545,0.1756561
smap1.20,Acsa,winter,neutral,13.507,0.07652,0,0.0919556,0.0957226,0.1876782
wash1.14,Fram,winter,avoided,10.899,0.0358402,0,0.1540178,0.178075,0.3320928
wash1.15,Fram,winter,avoided,14.988,0.036212,0,0.1293039,0.131869,0.2611729
wash1.17,Fram,winter,avoided,10.653,0.0166756,0,0.0971292,0.114655,0.2117842
wash1.18,Fram,winter,avoided,9.61,0.0464534,0,0.1554167,0.092005,0.2474217
wash1.20,Fram,winter,avoided,10.13,0.0490222,0,0.1442255,0.130963,0.2751885
wash1.19,Fram,winter,avoided,7.146,0.026072,0.00020514,0.10459,0.10333,0.20792
WASH.8.2.D,Fram,summer,neutral,25.37,0.0345896,0.00026984,0.130379,0.1198314,0.2502104
wash1.16,Fram,winter,avoided,10.894,0.0369556,0.000277069,0.1265061,0.170827,0.2973331
EHEM.8.1.D*,Tsca,summer,avoided,14.251,0.114375,0.000290282,0.1085304,0.1405499,0.2490803
smap1.15,Acsa,winter,neutral,10.058,0.067556,0.000329972,0.0744296,0.0612241,0.1356537
ehem1.16,Tsca,winter,neutral,15.619,0.083475,0.000331066,0.2671246,0.1941196,0.4612442
BWIL.8.3.D,Sani,summer,preferred,16.855,0.052583,0.000374248,0.2294924,0.1628775,0.3923699
EHEM.7.31.D,Tsca,summer,avoided,15.799,0.0926625,0.000466793,0.1028799,0.1601383,0.2630182
ehem1.17,Tsca,winter,neutral,16.396,0.112425,0.000512236,0.2309573,0.155425,0.3863823
woak1.18,Qual,winter,preferred,11.64,0.0557146,0.000533831,0.0739762,0.1628775,0.2368537
woak1.16,Qual,winter,preferred,9.567,0.0487518,0.000557793,0.0893918,0.146818,0.2362098
ehem1.18,Tsca,winter,neutral,15.346,0.0972375,0.000576333,0.2062434,0.096535,0.3027784
WPIN.7.30.D,Pist,summer,avoided,13.242,0.086846,0.000597487,0.0919556,0.0957226,0.1876782
ehem1.19,Tsca,winter,neutral,17.45,0.0817875,0.000608278,0.2472778,0.11239,0.3596678
wpin1.19.15,Pist,winter,avoided,18.755,0.096,0.000611859,0.1673766,0.1764002,0.3437768
wpin1.16,Pist,winter,avoided,18.798,0.081675,0.00061724,0.1673766,0.1764002,0.3437768
EHEM.8.3.D,Tsca,summer,avoided,14.772,0.077045,0.000621621,0.0984598,0.118579,0.2170388
BWIL.8.1.D,Sani,summer,preferred,12.535,0.045482,0.000623357,0.1703092,0.3872884,0.5575976
WPIN.8.3.D,Pist,summer,avoided,13.589,0.061871,0.000635548,0.0919556,0.1405499,0.2325055
ercd1.15,Juvi,winter,avoided,20.53,0.0943875,0.00064254,0.2001815,0.112843,0.3130245
