date,Season,trial.date,start.time,deer,treesp,forage,f.duration,f.duration(s),bites,sniff,s.duration,s.duration(s),forage.metric,tree.pos,**durations in seconds,figure out what to do with row 89
7/30/2020,Summer,four,17:05:06,Salmon1220,WPIN,no,0,0,0,yes,3,3,#DIV/0!,5,,
7/30/2020,Summer,four,17:12:40,Salmon1220,EHEM,no,0,0,0,yes,26,26,#DIV/0!,3,,
7/30/2020,Summer,four,18:17:40,Salmon1220,WPIN,no,0,0,0,yes,0:08,8,#DIV/0!,5,,
7/30/2020,Summer,four,18:17:49,Salmon1220,BWIL,yes,0:11,11,2,yes,0:05,5,5.5,4,,
7/30/2020,Summer,four,18:18:37,Salmon1220,WPIN,no,0,0,0,yes,0:06,6,#DIV/0!,5,,
7/30/2020,Summer,four,18:18:43,Salmon1220,BWIL,yes,0:22,22,4,yes,0:10,10,5.5,4,,
7/30/2020,Summer,four,19:33:17,Salmon1220,AELM,no,0,0,0,yes,0:42,42,#DIV/0!,7,,
7/30/2020,Summer,four,19:34:47,Salmon1220,WOAK,no,0,0,0,yes,0:07,7,#DIV/0!,8,,
7/30/2020,Summer,four,19:35:05,Salmon1220,ERCD,no,0,0,0,yes,0:04,4,#DIV/0!,1,,
7/31/2020,Summer,four,5:49:12,Salmon1220,AELM,yes,0:40,40,10,yes,0:10,10,4,7,,
7/31/2020,Summer,four,6:40:17,Salmon1220,WOAK,no,0,0,0,yes,0:20,20,#DIV/0!,8,,
7/31/2020,Summer,four,6:41:42,Salmon1220,WASH,no,0,0,0,yes,0:32,32,#DIV/0!,2,,
7/31/2020,Summer,four,6:42:36,Salmon1220,BWIL,yes,0:58,58,11,no,0,0,5.272727273,4,,
7/31/2020,Summer,four,6:42:37,Salmon1220,WPIN,no,0,0,0,yes,0:16,16,#DIV/0!,5,,
7/31/2020,Summer,five,10:44:57,Salmon2228,ERCD,no,0,0,0,yes,0:03,3,#DIV/0!,1,,
7/31/2020,Summer,five,12:51:04,F.Green2208,AELM,yes,1:31,91,11,yes,0:06,6,8.272727273,6,,
7/31/2020,Summer,five,12:51:30,Salmon2228,WASH,no,0,0,0,yes,0:08,8,#DIV/0!,5,,
7/31/2020,Summer,five,13:27:20,F.Green2208,BWIL,yes,0:23,23,2,yes,0:05,5,11.5,7,,
7/31/2020,Summer,five,13:27:51,Salmon2228,BWIL,no,0,0,0,yes,0:06,6,#DIV/0!,7,,
7/31/2020,Summer,five,16:55:48,F.Green2208,WOAK,no,0,0,0,yes,0:10,10,#DIV/0!,8,,
7/31/2020,Summer,five,17:01:48,F.Green2208,SMAP,yes,0:42,42,10,yes,0:02,2,4.2,2,,
7/31/2020,Summer,five,17:02:34,F.Green2208,WPIN,no,0,0,0,yes,0:05,5,#DIV/0!,3,,
7/31/2020,Summer,five,19:39:22,F.Green2208,AELM,yes,1:14,74,24,yes,0:03,3,3.083333333,6,,
7/31/2020,Summer,five,19:40:45,F.Green2208,WASH,no,0,0,0,yes,0:05,5,#DIV/0!,5,,
7/31/2020,Summer,five,19:40:55,F.Green2208,WPIN,no,0,0,0,yes,0:02,2,#DIV/0!,3,,
7/31/2020,Summer,five,19:41:05,F.Green2208,EHEM,no,0,0,0,yes,0:05,5,#DIV/0!,4,,
7/31/2020,Summer,five,19:41:10,F.Green2208,WPIN,no,0,0,0,yes,0:25,25,#DIV/0!,3,,
7/31/2020,Summer,five,19:41:35,F.Green2208,SMAP,no,0,0,0,yes,0:03,3,#DIV/0!,2,,
7/31/2020,Summer,five,19:45:44,F.Green2208,BWIL,no,0,0,0,yes,0:05,5,#DIV/0!,7,,
7/31/2020,Summer,five,19:50:55,F.Green2208,WASH,yes,0:13,13,1,yes,0:14,14,13,5,,
7/31/2020,Summer,five,20:52:44,Salmon2228,WPIN,no,0:00,0,0,yes,0:07,7,#DIV/0!,3,,
8/1/2020,Summer,five,2:04:06,F.Green2208,WOAK,yes,0:54,54,15,yes,0:09,9,3.6,8,,
8/1/2020,Summer,five,2:04:21,F.Green2208,ERCD,no,0,0,0,yes,0:02,2,#DIV/0!,1,,
8/1/2020,Summer,five,5:51:55,Salmon2228,AELM,yes,0:18,18,2,yes,0:08,8,9,6,,
8/1/2020,Summer,five,5:52:54,Salmon2228,WASH,yes,0:06,6,1,yes,0:04,4,6,5,,
8/1/2020,Summer,five,5:53:28,Salmon2228,SMAP,no,0,0,0,yes,0:10,10,#DIV/0!,2,,
8/1/2020,Summer,five,5:54:39,Salmon2228,BWIL,yes,0:42,42,6,yes,0:14,14,7,7,,
8/1/2020,Summer,five,5:57:29,Salmon2228,AELM,yes,0:44,44,8,yes,0:02,2,5.5,6,,
8/1/2020,Summer,six,13:56:21,PinkCT6121,AELM,no,0,0,0,yes,0:05,5,#DIV/0!,1,,
8/1/2020,Summer,six,14:01:31,PinkCT6121,BWIL,yes,0:03,3,1,yes,0:11,11,3,6,,
8/1/2020,Summer,six,14:54:25,Turqoise2234,AELM,yes,0:48,48,8,yes,0:11,11,6,1,,
8/1/2020,Summer,six,14:59:03,Turqoise2234,WOAK,yes,1:01,61,11,yes,0:03,3,5.545454545,7,,
8/1/2020,Summer,six,15:00:12,Turqoise2234,BWIL,no,0,0,0,yes,0:09,9,#DIV/0!,6,,
8/1/2020,Summer,six,15:00:42,Turqoise2234,EHEM,no,0,0,0,yes,0:08,8,#DIV/0!,3,,
8/1/2020,Summer,six,16:47:04,Turqoise2234,WASH,yes,1:15,75,11,yes,0:12,12,6.818181818,8,,
8/1/2020,Summer,six,16:47:39,PinkCT6121,AELM,yes,0:48,48,12,yes,0:15,15,4,1,,
8/1/2020,Summer,six,18:03:38,Turqoise2234,AELM,no,0,0,0,yes,0:05,5,#DIV/0!,1,,
8/1/2020,Summer,six,18:04:02,Turqoise2234,ERCD,no,0,0,0,yes,0:07,7,#DIV/0!,2,,
8/1/2020,Summer,six,18:14:04,PinkCT6121,AELM,no,0,0,0,yes,0:13,13,#DIV/0!,1,,
8/1/2020,Summer,six,19:11:36,Turqoise2234,BWIL,yes,0:51,51,13,yes,0:09,9,3.923076923,6,,
