Sample.id,Species,Season,treesp,date,trial.date,C.P.perc,GAE.mg.ml,TAE.mg.ml,S.S.mg.ml,St.mg.ml,TNC.mg.ml
AELM.7.29.D,Ulam,Summer,AELM,28-Jul,two,15.4885,0.139808,0.001397318,0.1635286,0.2422589,0.4057875
AELM.7.30.D,Ulam,Summer,AELM,29-Jul,three,12.018,0.148232,0.00152196,0.2188335,0.181246,0.4000795
AELM.7.31.D,Ulam,Summer,AELM,30-Jul,four,17.88,0.1290944,0.001019712,0.0942158,0.2727716,0.3669874
AELM.8.1.D,Ulam,Summer,AELM,31-Jul,five,19.779,0.0945846,0.000860976,0.1473305,0.1966782,0.3440087
AELM.8.2.D,Ulam,Summer,AELM,1-Aug,six,15.29,0.089264,0.001036387,0.0893187,0.186884,0.2762027
AELM.8.3.D,Ulam,Summer,AELM,2-Aug,seven,9.8115,0.0963084,0.000843263,0.1047634,0.4897508,0.5945142
aelm1.14,Ulam,Winter,AELM,14-Jan,one,8.65,0.118008,0.001104751,0.1255735,0.142741,0.2683145
aelm1.15,Ulam,Winter,AELM,15-Jan,two,11.677,0.073561,0.000749017,0.0593589,0.084757,0.1441159
aelm1.16,Ulam,Winter,AELM,16-Jan,three,9.713,0.0785972,0.000992605,0.0635556,0.082945,0.1465006
aelm1.17,Ulam,Winter,AELM,17-Jan,four,13.947,0.1057048,0.000963704,0.0757898,0.1022585,0.1780483
aelm1.18,Ulam,Winter,AELM,18-Jan,five,14.569,0.0678826,0.000689465,0.0933988,0.084304,0.1777028
aelm1.19,Ulam,Winter,AELM,19-Jan,six,17.44,0.0549372,0.000771756,0.0677523,0.082039,0.1497913
aelm1.20,Ulam,Winter,AELM,20-Jan,seven,17.339,0.0907314,0.000728368,0.0752131,0.106048,0.1812611
BWIL.7.29.D,Sani,Summer,BWIL,28-Jul,two,25.644,0.040028,0,0.1530852,0.0747468,0.227832
BWIL.7.30.D,Sani,Summer,BWIL,29-Jul,three,16.112,0.080636,0.00095279,0.2031952,0.0887358,0.291931
BWIL.7.31.D,Sani,Summer,BWIL,30-Jul,four,18.546,0.0811875,0.000674355,0.1431868,0.0976061,0.2407929
BWIL.8.1.D,Sani,Summer,BWIL,31-Jul,five,12.535,0.045482,0.000623357,0.1703092,0.3872884,0.5575976
